,,INVENTORY,YEAR,MAKE,MODEL,,,,ENGINE,TRANSMISSION,DRIVE,COLOR,MILES,MPG,CLEAN,VALUE
,SE,1FM5K8F88DGA52402,2013,FORD,EXPLORER LIMITED,OK,,,"V6,3.5L",6 Spd SelShft,4X4,BROWN,$151.694,20,NO,$6.850
,SE,2T1BU4EE1DC118482,2013,TOYOTA,COROLLA  L,,,,"V4,1.8 L ",4Spd,FWD,WHITE,149446,30,NO,$6.150
,SE,JTKJF5C71D3061184,2013,TOYOTA,SCION TC COUPE,,,,"V4,2.5L",MANUAL 6 Spd,FWD,GRAY,119923,28,NO,$5.950
,SE,JTKJF5C74C3033572,2012,TOYOTA,SCION TC COUPE,,,,"V4,2.5L",MANUAL 6 Spd w/OD,FWD,GRAY,"$127.320,00",28,NO,$5.350
,SE,JF1GH6B69BH804514,2011,SUBARU,IMPREZA WAGON PREMIUM,,,,"V4,2.5L",4 Spd w/Overdrive &Sportshift,AWD,GRAY,50000,22,NO,$6.350
,E,1J4NF1FB9BD257893,2011,JEEP,COMPASS SPORT,,,,"V4,2.4L",CVT,4WD,SILVER,$119.147,23,YES,$5.350
,SE,KMHCM3AC4BU188749,2011,HYUNDAI,ACCENT GS,,,,"V4,1.6L",4 Spd w/ Overdrive,FWD,BLACK,114792,36,NO,$4.350
,,2FMDK4JC4ABA17441,2010,FORD,EDGE SEL ,OK,,,"V6, 3.5 L",6 Spd w/overdrive,AWD,PURPLE,110575,,YES,$5.850
,E,KMHDU4AD4AU926275,2010,HYUNDAI,ELANTRA BLUE SEDAN,,,,"V4,2.0L",MANUAL,FWD,GRAY,160403,30,YES,$3.450
,SE,JM3TB3MA9A0234478,2010,MAZDA,CX-9 GRAN TOURING,,OK,,"V6,3.7L",6 Spd w/Overdrive &Powershift,AWD,BLUE,69551,19,NO,$7.250
,E,WMEEJ31X99K209630,2009,SMART,FORTWO BRABUS,,,,"V3,1.0L",7 Spd w/overdrive,RWD,WHITE,125213,36,NO,$3.950
,,,2008,,,,,,,,,,,,,
,E,1D7HU18218J123725,2008,DODGE,RAM 1500 SLT,OK,,,"V8, HEMI,5.7L",,4X4,WHITE,269684,,YES,
,E,5UXFE43568L019817,2008,BMW,X-5 3.0si Sport Utility,,,,"6-Cyl, 3.0 L","Auto, 6-Spd OD Steptronic",AWD,GRAY,141711,18,YES,$5.850
,E,JTDKB20U373271421,2007,TOYOTA,PRIUS  TOURING,,,,"V4,HYBRID,1.5 L",CVT,FWD,GRAY,152904,47,YES,$5.450
,E,2D4GP44L75R354779,2005,DODGE,GRAN CARAVAN  SXT,,,,"V6,3.8L",AUTOMATIC,FWD,WHITE,189961,20,YES,$2.850
,,,2004,NISSAN,XTERRA,OK,,,,,,,,,,
,E,4T1BE30K85U038973,2004,TOYOTA,CAMRY  LE,,OK,,"V4, 2.4 L",AUTOMATIC,FWD,SILVER,215721,28,YES,$3.450
,E,1G1JC5240X7201190,1999,CHEVY,CAVALIER  ,OK,,,"V4,2.2L",AUTOMATIC,FWD,WHITE,91950,25,YES,"$2,650.00"
